Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,[IFNg] serum,[IgE] serum,[IgG1] serum,[IgG2a] serum,[IL-4] serum,[IL-5] serum,[IL-10] serum,[IFNg] Ag MLN stim,[IFN] CD3 MLN stim,[IFN] Media MLN stim,[IL-5] Media MLN stim,[IL-5] Ag MLN stim,[IL-5] CD3 MLN stim,[IL-10] Media MLN stim,[IL-10] CD MLN stim,[IL-10] Ag MLN stim,[IL-17]Media MLN stim,[IL-17] CD MLN stim,[IL-17] Ag MLN stim,[GAPDH] QPCR Gut,[Arg1] QPCR Gut,[CD36] QPCR Gut,[Idlr] QPCR Gut,[iNOS] QPCR Gut,[PPARg1&2] QPCR Gut,[RELMa] QPCR Gut,[Arg1] QPCR Spleen,[CD36] QPCR Spleen,[GAPDH] QPCR Spleen,[Idlr] QPCR Spleen,[iNOS] QPCR spleen,[PPARg1&2] QPCR spleen,[RELMa] QPCR spleen,wean BW,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BWd9,BWd21,FinalBW,ADWG,ADWG expt,ADWG expt diet,FI 1,FI 2,FI 3,FI 4,FI 5,FI 6,FI 7,FI 8,FI 9,FI 10,FI 11,ADFI,ADFI expt,spleen wt,gut wt,Spl_BW,Gut_BW,granulomas,colon contents,wet carcass wt,dry carcass wt,DMR ratio,Fat %,EIC,Adult Male,Adult Female,Juv Male,Juv Female,Total worms,tWB,PCF,Juv Per
SB-105,8,ROH,0_1,0,1,HP,21,0,0.063,"12,800.00",0,0.034,0,0,0,1.563,0,1.586,0,,0,0.947,0,0,0.077,0,0.256,0.005,0.011,2.87,0.019,0.007,0.013,0.251,0.005,0.324,0.413,0.19,0.286,0.006,16.29,21.57,25.32,29.25,32.48,32.58,35.84,40.29,42.01,42.21,46.57,48.19,50.36,,50.63,50.63,1.041,0.93,1.233,3.645,5.307,5.235,4.6,4.78,5.967,4.56,4.23,4.6,4.773,5.655,,,0.138,2.368,2.726,46.771,9,0.11,45.36,21,0.463,22.115,63.00,4,11,0,0,15,1.204,5.727,0
SB-105,9,ROH,1_1,1,1,HP,21,0,,"496,000.00",800,0.1,,0,0.568,1.67,1.436,3.974,1.213,,0.229,4.029,0.852,0,0,0,,,,,,,,,,,,,,,17.88,24.24,28.36,30.1,35.45,35.34,37.97,36.87,42.67,43.68,47.96,50.17,51.85,,53.44,53.44,1.078,1.015,1.289,4.57,5.473,5.505,5.703,4.728,3.24,6.3,5.287,4.928,5.727,4.743,,,0.221,2.721,4.135,50.917,39,0.17,46.94,22.2,0.473,23.243,0.00,0,0,0,0,0,0,*,*
SB-105,10,ROH,0_1,0,1,LP,9,0,0.064,"1,600.00",0,0.227,0,0,0,0,0,0,0,2.268,0.347,2.155,0.711,0,0,0,0.279,0.011,0.032,4.305,0.039,0.032,0.016,0.143,0.001,0.147,0.086,0.074,0.084,0.022,19.46,24.71,28.63,30.75,34.81,34.72,39.13,39.05,38.24,39.91,,,,39.64,,39.64,0.612,0.387,0.042,4.263,5.6,5.613,4.93,5.185,5.693,4.658,4.887,,,,5.095,4.858,0.11,2.3,2.775,58.022,0,0.25,35.36,13.5,0.382,12.942,0.00,1,2,0,0,3,0.602,0,0
SB-105,11,ROH,1_1,1,1,LP,9,0,,"124,000.00",400,0.056,0,0,0,0,0,0,0.672,3.119,0,2.748,0.172,0,0,0,0.403,0.279,0.111,0.493,0.059,0.037,0.064,0.144,0.001,0.107,0.077,0.073,0.06,0.09,16.71,22.17,28.13,31.04,34.4,34.65,38.63,38.25,35.61,34.93,,,,34.06,,34.06,0.526,0.131,-0.381,4.638,5.457,5.853,5.233,4.985,4.707,3.295,3.057,,,,4.493,3.187,0.09,1.75,2.642,51.38,31,0.18,31.44,11.8,0.375,12.211,0.00,0,0,0,0,0,0,*,*
SB-105,12,ROH,1_0,1,0,LP,21,0,0.034,"51,200.00",0,0,0,0,0,0.746,0.884,0.471,0,,0,0.328,0,0,0,0,1.14,0.022,287,0.351,7.685,0.151,0.062,0.113,0.016,0.237,0.354,0.09,0.299,0.03,10.19,14.04,17.97,23.31,27.91,28.53,30.25,30.93,31.1,30.81,32.45,32.17,34.45,,34.05,34.05,0.723,0.467,0.317,3.118,4.68,4.725,3.85,3.788,5,4.183,4.193,4.385,4.593,4.07,,,0.098,1.851,2.878,54.361,13,0.21,30.89,13.3,0.431,18.453,0.00,0,0,0,0,0,0,*,*
SB-105,13,ROH,0_0,0,0,HP,21,0,0.001,0,0,0,0,0,0,1.703,0.714,0,0,,0,0,0,0,0.032,0,1.335,0,435,0.371,5.265,0.173,0,0.073,0.037,0.268,0.381,0.158,0.221,0.007,10.38,13.89,18.1,21.63,27.28,28.18,30.95,35.15,37.48,39.61,43.61,43.61,46.06,,46.84,46.84,1.105,1.096,1.324,3.1,4.14,4.975,4.153,4.465,5.82,4.295,4.923,4.435,4.283,4.32,,,0.098,1.997,2.092,42.635,0,0.06,42.1,19.1,0.454,21.066,0.00,0,0,0,0,0,0,*,*
SB-105,14,ROL,1_1,1,1,HP,21,0,0.549,"51,200.00",0,0.375,0.075,,0.387,3.676,0,5.744,0.555,,0,4.764,0.606,0,0.173,0,0.561,0.022,0.167,0.147,0.105,0.029,0.015,0.011,0,0.054,0.307,0.008,0,0.001,5.77,7.11,7.76,9.23,11.08,10.94,12,13,13.17,13.52,14.4,14.62,15.64,,15.79,15.79,0.304,0.285,0.316,1.813,2.257,2.513,2.007,2.328,2.453,1.63,2.06,1.755,1.9,1.865,,,0.056,0.765,3.547,48.448,11,0.07,14.05,4.6,0.327,6.796,0.00,1,0,0,0,1,0.301,*,0
SB-105,18,ROL,1_0,1,0,LP,21,0,0.139,"3,200.00",0,0,0,0,,2.323,0,,,,0.15,0.336,0.188,0.997,0,0,0.001,0,0,0.002,0,0,0,0.052,0.013,0.193,0.426,0.102,0.15,0.002,6.36,7.64,8.56,9.6,12.46,11.21,13.31,12.73,13.31,12.97,14.1,14,14.67,,15.49,15.49,0.277,0.256,0.182,1.928,2.27,2.828,2.25,2.978,2.307,2.688,2.617,2.78,2.897,2.89,,,0.033,0.736,2.13,47.515,6,0.14,13.5,5.3,0.393,14.163,0.00,0,0,0,0,0,0,*,*
SB-105,20,ROL,1_1,1,1,LP,9,0,0.424,"3,200.00",0,0.095,0,0,0,0,1.042,0.318,0.963,2.504,0.006,1.56,0.634,0,0,0,,,,,,,,,,,,,,,6.66,8.58,8.63,9.41,11.07,11.81,12.52,12.27,11.92,12.77,,,,13.38,,13.38,0.204,0.173,0.072,1.858,2.11,2.508,2.863,2.398,2.497,2.36,3.21,,,,2.519,2.812,0.05,0.9,3.737,67.265,1,0.11,12.29,4.5,0.366,11.175,0.00,0,1,0,3,4,0.699,0,75
SB-105,23,ROL,0_1,0,1,HP,21,0,0.209,"3,200.00",0,0.218,0,0,2.97,7.772,4.426,0,1.039,1.275,0.05,0.614,0.407,0,3.181,0,0.288,0,0.001,0.529,0.009,0.02,0,0.124,0.004,0.247,0.22,0.065,0.105,0.012,6.54,8.36,8.98,9.84,11.79,12.68,13.66,15.14,14.93,14.98,16.32,16.41,17.22,,17.38,17.38,0.328,0.328,0.31,1.828,2.303,2.765,2.48,2.673,2.9,1.903,1.97,1.975,2.147,2.11,,,0.095,0.758,5.466,43.613,0,0.1,15.36,5.6,0.365,10.998,2092.50,12,15,0,0,27,1.447,139.5,0
